POWER_DEMAND,datetime,tempmax,tempmin,temp,humidity,windspeed,solarradiation
7315,2023-08-22,35.3,28,31.1,80.9,18.4,156.7
6331,2023-08-23,28.9,27,27.6,92.4,14.8,14.9
5875,2023-08-24,32.1,26,29.1,75.8,14.8,214.7
6185,2023-08-25,34.4,26.7,30.4,68.1,14.8,275
5926,2023-08-26,34.5,27,30.8,63.6,17.8,172.1
5855,2023-08-27,35,27,30.9,58.5,17.8,264.5
6426,2023-08-28,34.9,27,30.7,62.5,24,174.8
6427,2023-08-29,35,27,31.5,61.5,17.3,275.8
0,2023-08-30,35.6,28,31.6,62.8,16.6,273.7
6523,2023-08-31,35.7,27.4,31.9,61.7,15.2,271.8
6681,2023-09-01,36.2,28,32.4,60.6,18.4,268.3
6575,2023-09-02,38.3,28.7,33.3,46.1,19.4,270.6
6533,2023-09-03,36,28,31.9,54.4,16.6,269.8
6642,2023-09-04,36.1,27.4,31.6,58.2,16.6,268.6
6953,2023-09-05,36.9,27,32,61,12.2,256.3
6716,2023-09-06,36.2,27,31.6,59.1,9.4,185.8
6371,2023-09-07,36.9,28,30.8,65.3,14.8,254.3
5963,2023-09-08,35.6,26,30.4,66.4,18.4,213.8
5920,2023-09-09,31,25,27.2,87.2,23,51.1
4526,2023-09-10,28.1,24,25.6,96.6,14.8,33.1
5233,2023-09-11,32,25,27.7,85.8,11.2,171.3
5654,2023-09-12,33.1,25.9,29.1,79.4,9.4,248.9
6206,2023-09-13,34.6,27,30.8,76.3,11.2,220.7
6729,2023-09-14,36.4,28,31.9,73.7,11.2,219.4
6404,2023-09-15,32.6,24.7,29.4,82.1,18.4,221
5943,2023-09-16,33.2,25,28.1,91,18.4,234.8
5162,2023-09-17,32,25.5,28.3,87.8,18.4,218.2
5495,2023-09-18,32.8,25,28.8,77.3,18.4,221.6
6009,2023-09-19,34.7,27,30.6,71.2,13,220
6320,2023-09-20,35.6,27,31.8,62.2,7.9,178.5
6543,2023-09-21,36.3,28,31,71,14.8,166.7
6475,2023-09-22,35.4,27,30.9,71.7,9.4,238.8
6338,2023-09-23,33,24.6,28.4,84.4,31.7,223.5
5383,2023-09-24,33.5,25,28.4,77.9,63.4,227.4
5645,2023-09-25,34.5,25,29.4,72.3,9.4,217.2
5736,2023-09-26,34.7,26,30.1,68.9,11.2,234.7
5640,2023-09-27,33.8,26,29.6,65.1,13,237.3
5313,2023-09-28,34,23.6,28.7,62.1,14.5,244.3
5413,2023-09-29,33.4,23.6,28.9,62.3,11.2,237.1
5163,2023-09-30,35.1,24.7,29.5,61.9,14.8,236.5
5068,2023-10-01,34.8,24,28.9,59.8,14.8,235.5
4600,2023-10-02,34.1,22,27.7,52.7,14.8,240.2
4755,2023-10-03,33.9,20.5,27.2,48.9,16.6,238
4869,2023-10-04,34,20.9,27.7,54.2,16.6,235.5
4843,2023-10-05,34.4,21,27.6,53.7,14.8,233
4925,2023-10-06,35,20.9,28,52.3,13,230.3
4861,2023-10-07,34.7,22.9,29,58,14.8,223.2
5277,2023-10-08,35.9,25.5,30.2,60.1,14.8,219.2
5500,2023-10-09,35.7,26,30.4,58.8,14.8,216.8
5487,2023-10-10,35,24.8,29.8,52.7,13,215.9
5040,2023-10-11,34.5,22.5,27.9,55.8,16.6,221.2
4863,2023-10-12,33.8,19.9,27,53.5,11.2,222.4
4958,2023-10-13,35.2,22,28.1,55.4,14.8,217.8
4715,2023-10-14,35.7,22.8,28.8,55.1,13,211.9
4523,2023-10-15,33.4,23.1,27.6,58.1,16.6,204.5
4511,2023-10-16,28.8,21.3,25.4,59.5,37.1,141.3
4022,2023-10-17,25.3,18.9,21.9,77.2,14.8,203.7
4095,2023-10-18,31,18.7,24.3,60.3,14.8,206
4078,2023-10-19,29.2,17.6,23.7,58.8,11.2,207.7
4067,2023-10-20,30.8,18.4,24,59.2,11.2,205.4
3812,2023-10-21,30.5,17.8,23.8,59.7,7.6,204.4
3570,2023-10-22,30.6,18.1,24.2,59.8,11.2,192.9
3979,2023-10-23,30.3,18.9,24.6,58.3,11.4,198.5
3480,2023-10-24,30.6,18.6,24.5,56.3,11.2,198.4
4006,2023-10-25,30,18,24.1,57.9,13,198.2
4028,2023-10-26,31,18.1,24.2,54.5,10.6,198.8
4038,2023-10-27,30.8,17.1,23.7,52.1,11.2,199.5
3817,2023-10-28,31.5,17.2,24.1,52.2,7.6,160.9
3656,2023-10-29,32.3,18,24.6,52.2,9.4,188.3
4048,2023-10-30,32.3,18.7,25.1,58.3,9.4,186.8
4124,2023-10-31,31.6,19.6,24.9,67.1,9.4,185.6
4186,2023-11-01,31,18,24.2,64.4,7.6,184
4153,2023-11-02,29.6,18.5,23.5,71.8,7.6,183.7
4140,2023-11-03,29.2,18.6,22.8,72.2,7.6,180.5
3903,2023-11-04,28.5,18.4,22.7,75.8,7.6,179.4
3819,2023-11-05,31,18,23.3,70.7,9.4,182.9
4026,2023-11-06,30.3,16,22.6,64.8,7.6,182.5
4002,2023-11-07,30.9,16.7,23.3,63.5,7.6,176.3
4047,2023-11-08,30,17.4,23.5,66,7.6,172
4031,2023-11-09,31.7,17.6,23.8,62.7,11.2,172
4097,2023-11-10,22,18,20.3,84.4,13,136
3572,2023-11-11,25.5,15.7,19.8,76,13,169.6
3025,2023-11-12,26.1,14,19.8,72.6,13,170.8
2872,2023-11-13,26.7,14.3,19.6,74.3,7.6,165.6
3205,2023-11-14,25.4,14.4,19.9,66.1,7.6,135
3554,2023-11-15,26.4,13.2,19.1,70.1,9.4,169.9
3536,2023-11-16,26.3,13.7,19.1,76.1,9.4,166.9
3808,2023-11-17,27.4,14,20.1,73.1,5.4,164.1
3558,2023-11-18,27.2,15,20.6,68.8,9.4,160.4
3465,2023-11-19,26,14.4,19.9,68,11.2,161.8
3504,2023-11-20,25.8,14,19.5,70.4,9.4,161.3
3548,2023-11-21,25.5,13.6,18.8,70.8,13.7,162
3724,2023-11-22,25,13,17.8,67.7,11.2,162
3656,2023-11-23,26,11.5,18.6,65.7,9.4,161.6
3911,2023-11-24,26.1,12,18.3,70,7.6,156.5
3698,2023-11-25,25,12.6,18.1,69.7,8.2,149.8
3825,2023-11-26,25.6,13.2,19.4,67.1,11.2,105.6
3859,2023-11-27,23.2,15.5,18.5,75,18.4,90.6
3749,2023-11-28,20,15.6,17.7,86.9,9.4,97.3
3829,2023-11-29,24.7,14.1,18.5,81,9.4,115.7
3784,2023-11-30,24.3,15,19.1,82.5,13,116.1
3978,2023-12-01,24.5,14.8,19.6,80.7,7.6,141
3658,2023-12-02,23.7,14,17.9,83.5,8,146.9
3793,2023-12-03,25.1,12.4,18.4,75.1,9.4,146.2
3769,2023-12-04,24.2,16,19.7,67.4,11.2,109.9
3824,2023-12-05,24.1,13.6,17.9,69.4,13,147.6
3837,2023-12-06,24.6,11.2,16.9,72.6,7.6,148.2
3816,2023-12-07,23.6,11.6,16.7,75.4,7.8,145.3
4032,2023-12-08,25,11.7,17.4,69.7,11.2,147.4
3826,2023-12-09,24.4,10.8,16.9,69.4,13,147.9
3885,2023-12-10,22.5,10,15.6,68.6,18.4,148
3890,2023-12-11,23.3,9.1,15.5,65,9.4,149.3
3950,2023-12-12,23.7,9,15.9,72.2,9.4,145.2
4061,2023-12-13,23.7,9.4,16.3,69.6,9.4,147.3
3740,2023-12-14,23,8.5,15.4,65.4,16.6,140
3992,2023-12-15,23.8,7.9,15.4,63.2,10.1,145.8
4003,2023-12-16,23.5,7.8,16.3,50.6,9.4,140.7
4097,2023-12-17,23.6,8.1,15.8,64.3,11.2,144.8
4096,2023-12-18,21.5,8.7,14.6,71.5,18.4,146.5
4154,2023-12-19,22.1,8,14.5,64.9,18.4,148.4
4338,2023-12-20,21,8.4,14.2,68.6,13,143.3
4287,2023-12-21,22,8,14.3,75.2,11.2,139
4570,2023-12-22,21.9,8,14.3,76.1,13,146
4253,2023-12-23,23,11.8,16.3,72.6,11.2,139.8
4253,2023-12-24,23.7,10,16,77.6,9.4,137.7
4358,2023-12-25,22,11,14.8,81.7,11.2,143.5
4382,2023-12-26,23,8,14.1,83.8,9.4,130.8
4500,2023-12-27,19.5,10.3,13,91.9,9.4,145
4515,2023-12-28,19.5,9.3,12.8,91.1,9.4,146.8
4813,2023-12-29,18.6,12,13.8,93.9,9.4,144
4441,2023-12-30,19.4,12.8,14.6,90,9.4,113.7
4600,2023-12-31,16,11.5,13.3,87,9.4,146.9
5062,2024-01-01,16.1,10.3,12.1,81.7,11.2,150.5
4881,2024-01-02,16.3,9,11.2,82.2,11.2,152.6
5250,2024-01-03,15.1,8.8,10.8,87.8,11.2,149.7
5159,2024-01-04,11.5,8,10.1,92.7,13,148.5
5413,2024-01-05,14,10,12,92.9,11.2,149.7
5100,2024-01-06,15,8.8,12.1,84.9,11.2,150.8
5087,2024-01-07,17.3,8.4,11.6,81.2,7.6,152.9
5256,2024-01-08,15,7.5,10.9,88.1,7.6,151.5
5372,2024-01-09,13,9.5,10.9,90.8,13,149.6
5526,2024-01-10,13.4,8,9.7,87.4,14.8,155
5370,2024-01-11,16.7,7,10.6,83.4,11.2,157.7
5665,2024-01-12,17.6,5.5,10.2,83.5,9.4,155.2
5316,2024-01-13,17,5.6,10.9,86.7,7.6,128.7
5442,2024-01-14,17.3,6.2,10.8,85.6,9.4,163
5454,2024-01-15,17.6,5,10.4,80.7,9.4,163.8
5376,2024-01-16,18,5.5,10.2,88.4,14.8,163
5523,2024-01-17,18,6,10.8,82.6,10.1,163.2
5414,2024-01-18,18,7,10.6,86.7,9.4,159.7
5769,2024-01-19,15,7,10,89.6,11.2,161.7
5282,2024-01-20,17,7.5,11.5,82.3,8.2,163.1
5430,2024-01-21,14.1,6,9.3,90.1,14.2,167.2
5746,2024-01-22,17,7,10.5,82.7,9.4,160.5
5391,2024-01-23,17.6,8,11.9,84.9,11.2,168
5640,2024-01-24,16,8.6,11.5,85.8,11.2,166.8
5520,2024-01-25,18.4,7,10.9,87.1,9.4,133.9
4847,2024-01-26,21,6.5,12.4,76.3,9.4,170.5
4968,2024-01-27,23.3,6.5,14,68.3,15.2,170.3
5020,2024-01-28,19,8.3,13.3,78,14.8,107.1
5122,2024-01-29,22,9,14.1,84.1,11.2,169.6
5176,2024-01-30,19.5,10,12.7,92.2,9.4,171.9
5296,2024-01-31,16,9.2,12.8,96.2,14.8,89.4
4993,2024-02-01,18,13.2,15.2,94.1,22.3,98.3
5338,2024-02-02,17,9.5,12.9,94.1,14.8,180.4
4893,2024-02-03,21.7,7,13.9,74.5,9.4,142.9
4861,2024-02-04,20,13,16.1,87.1,13,107.1
4803,2024-02-05,20,12.3,16.1,83.7,13,131.3
4793,2024-02-06,19.5,9,13.5,72.9,14.8,188.7
4764,2024-02-07,20.1,9.5,13.5,67.7,18.4,182.7
4701,2024-02-08,21,8,14.3,66.3,22.3,178.6
4840,2024-02-09,22.7,9,15,57.8,11.9,198.8
4573,2024-02-10,22.5,7.8,14.9,69.6,9.4,199.4
4521,2024-02-11,23.2,9,15.2,73.7,9.4,199.6
4497,2024-02-12,22.2,9.6,15.6,79.1,11.2,169.9
4465,2024-02-13,22,10.5,15.9,80.5,11.9,151.2
4673,2024-02-14,23.1,11,16.7,76.4,13,200.5
4267,2024-02-15,24.7,10.8,17,71,14.8,203.8
4498,2024-02-16,25.7,9.6,17.3,63.4,13,208.5
4130,2024-02-17,25.5,9.7,17.2,62,14.8,210.2
4113,2024-02-18,28.6,10.7,19.2,59.7,13,169.6
4081,2024-02-19,27.3,15.7,21,56.8,24.1,200.7
4049,2024-02-20,27,16,21,72.4,14.8,200.9
4144,2024-02-21,26,14,19.4,66.5,15.6,213.4
4019,2024-02-22,25.4,13.8,19.1,50.1,14.8,207.3
4168,2024-02-23,23.5,10,16.9,51.3,14.8,219.6
3952,2024-02-24,24.1,10.9,17.4,50.2,7.6,200.5
4067,2024-02-25,25.3,10.9,18.3,44.8,16.6,202.8
3943,2024-02-26,24.6,12.6,18.8,42.8,9.4,160.5
4059,2024-02-27,24,14.2,18.8,51.5,14.8,152.5
4089,2024-02-28,24.6,12,18,63.5,18.4,222.4
4014,2024-02-29,26,12,19.1,59.5,16,225.3
4114,2024-03-01,29,13.8,21.6,56.6,20.5,170.6
3699,2024-03-02,24.4,18,21.2,70.5,28.1,148.5
3838,2024-03-03,24.8,15.7,19.4,62.3,16.6,136.6
3918,2024-03-04,23.7,11.8,17.9,46.8,11.2,234.8
4028,2024-03-05,22.6,11,16.7,49.7,18.4,231.6
4191,2024-03-06,22.2,10,16.4,51.5,14.6,203
4022,2024-03-07,25.3,11.5,18.7,51.2,16.6,235.8
4419,2024-03-08,26.8,12.6,19.9,50.7,16.6,241.5
3744,2024-03-09,26,12,19,53.4,18.4,242.2
3755,2024-03-10,27.5,12,19.8,52.3,13,202.1
3908,2024-03-11,30.2,16,23.2,47.4,13,241.8
3811,2024-03-12,29.6,16.3,22.9,50.4,13,237.8
3854,2024-03-13,30.2,15.1,22.3,54.9,18.4,215.5
3752,2024-03-14,29.3,16.2,23,53,14.8,247.6
3956,2024-03-15,28,14,21.4,45.6,20.5,257.5
3619,2024-03-16,29,14.6,21.6,45.9,13.9,242.7
3582,2024-03-17,29.7,14.3,21.9,49,13,228.2
3754,2024-03-18,29.6,14,21.8,50.6,13,263
3762,2024-03-19,30.2,14.6,23,49.2,15.7,261.8
3860,2024-03-20,33,16.1,24.3,49.4,13,262.7
3692,2024-03-21,28.7,17.9,23.1,62.3,18.4,236.5
4090,2024-03-22,33,19,25.3,58.9,16.6,257.9
3750,2024-03-23,33,18.9,26.5,51.1,18.4,262.9
3405,2024-03-24,29,19,24.6,54.6,18.4,186.4
2682,2024-03-25,32.5,17.4,24.9,58.7,18.4,266.6
3453,2024-03-26,34,19,26.4,50.7,16.6,208
3892,2024-03-27,36,22,29,44.3,14.8,260.8
4020,2024-03-28,36,23,29.7,40.9,14.8,234.4
4177,2024-03-29,36,21,28.8,51.4,16.6,235.4
4040,2024-03-30,34,24,29.5,46.1,14.8,264.5
3829,2024-03-31,35,23,28.8,44.4,22.3,274.6
3976,2024-04-01,31,19,25.3,49.2,16.6,219.4
3922,2024-04-02,33,18.3,26.2,36,18.4,271.3
4089,2024-04-03,36,19.4,28.2,34.2,11.2,251.2
4293,2024-04-04,36.1,22.1,29.7,31.3,14.8,267.4
4413,2024-04-05,36,22.5,29.8,30.8,17,223.3
4070,2024-04-06,34.5,21,28.6,29.2,16.6,287.1
3757,2024-04-07,36,19,28,28.3,18.4,295.8
4317,2024-04-08,36.1,19.9,28.9,28.9,17.3,291.1
4307,2024-04-09,37,20.2,29.5,26.2,14.8,253.8
4345,2024-04-10,37.3,19.4,29.6,28.5,12.7,294.1
4188,2024-04-11,38,21.9,30,31.3,16.6,283.9
4683,2024-04-12,38.4,23,30.9,31.3,9.4,277.2
4343,2024-04-13,38.4,24.9,29.3,40.1,24.1,258.1
3737,2024-04-14,31.3,24,26.4,57.8,16.6,197.2
4386,2024-04-15,34,23.1,28.6,53.8,9.4,195.1
4532,2024-04-16,35,25,29.9,38.9,20.5,274.3
0,2024-04-17,35,22,29.1,28.5,20.5,298.1
4780,2024-04-18,38,23,31,25.9,20.5,270.7
5036,2024-04-19,38,26.7,32.5,32,14.8,276.4
4640,2024-04-20,36.3,24.9,30.9,36.2,18.4,296
4552,2024-04-21,36,25,31,33.7,20.5,273.2
4884,2024-04-22,36.5,25,31,31.8,18.4,214.8
5002,2024-04-23,36.5,22.9,29.2,40.5,27.6,288.8
4857,2024-04-24,37,20.6,29.6,41.4,18.4,302.2
5074,2024-04-25,39,22,31.4,31.1,20.1,304.5
5333,2024-04-26,40,23.4,31.8,33.9,16.6,303.1
4963,2024-04-27,38,24.8,31.5,37.7,18.4,302.2
4984,2024-04-28,37.2,24.8,31.2,31.6,11.2,269.5
5301,2024-04-29,37.9,24.1,30.9,36,16.6,298.3
5016,2024-04-30,36,23,29.7,30.2,18.4,317
4724,2024-05-01,33,22,28.2,20.8,18.4,319
4800,2024-05-02,35.2,20.4,28.7,25.1,20.5,312.5
5020,2024-05-03,38,20.3,30.3,24.7,18.4,299.6
5096,2024-05-04,40,24.8,32.7,23.9,14.8,280.9
5366,2024-05-05,41,24.8,33.8,24.4,14.8,311.6
6026,2024-05-06,40.1,26,34.1,27.8,20.5,309.7
6427,2024-05-07,41.4,25.6,34.2,33.1,16.6,312.2
6310,2024-05-08,36.5,28,32.2,50.2,20.5,307.2
6210,2024-05-09,37.1,26,31.7,48.3,20.5,306.2
6414,2024-05-10,38.1,28,32.6,49,27.7,305.4
5697,2024-05-11,38,26,31.8,41.4,27.7,297.7
6078,2024-05-12,39,27,33,41.2,13,287.7
6253,2024-05-13,40,28,34,34.5,16.6,313.4
6176,2024-05-14,40.2,25.2,33.8,29.9,20.5,320.7
6387,2024-05-15,41,24.9,34.2,25,16.6,323.3
6756,2024-05-16,42,27,35,29.6,13,321.6
6944,2024-05-17,44,27.1,36.9,26,16.6,322.3
7024,2024-05-18,44,28.2,37.1,25.9,18.4,318.2
7033,2024-05-19,45,29.3,38.1,23.2,18.4,316.6
7481,2024-05-20,44,30.1,37.9,23.2,18.4,316.7
7703,2024-05-21,42,31,35.8,40.2,18.4,314.9
7916,2024-05-22,41.7,31.2,36,44,18.4,316
7648,2024-05-23,40,30.9,35.2,45,22.3,314.3
7774,2024-05-24,40.7,31,35.4,43.7,22.3,311.8
7558,2024-05-25,43,31,37.3,35.8,18.4,314.6
7597,2024-05-26,44.5,28.1,37.9,26.9,16.6,323.5
7897,2024-05-27,45,30.3,38.6,24.9,16.6,325.7
7799,2024-05-28,46,28.8,38.6,23.7,16.6,328.2
8188,2024-05-29,47.9,30.5,38,26.6,21.5,325.3
8017,2024-05-30,46,32.1,39.1,22.9,19.2,320.7
7925,2024-05-31,46,29.9,38.6,24.8,18.4,325
7915,2024-06-01,43.6,31.7,36.5,27.3,18.4,319.5
7233,2024-06-02,42.1,30.8,36.7,29.1,16.6,304.5
7805,2024-06-03,44,30.8,37.2,29.1,15.3,314
7772,2024-06-04,44,31,37,32.4,18.4,291.8
7892,2024-06-05,44,29.8,37.8,28.2,27.7,306.8
7395,2024-06-06,40.7,26.7,33.8,39.4,28,311.8
7349,2024-06-07,42,28.8,35.6,29.9,18.4,312.8
7340,2024-06-08,41,30.4,35.8,29.4,18.4,317.3
6992,2024-06-09,42,28.4,36,25.3,18.4,325.4
7400,2024-06-10,43.2,30.9,37.3,23.4,18.4,324.3
7556,2024-06-11,44,29.5,37.2,23.9,16.6,327
7677,2024-06-12,44.1,30.4,37.6,24,16.6,328.7
7897,2024-06-13,45,31.3,38.8,23.3,18.4,318.4
8088,2024-06-14,44,33,37.8,28.6,24,274.8
7680,2024-06-15,45,32,38.3,27.8,27.7,319.3
7786,2024-06-16,45,33,39.1,27.6,24.8,318.4
8155,2024-06-17,45,34,39.5,28.7,23.5,318
8568,2024-06-18,44,34.8,39.5,31.1,25.2,303
8548,2024-06-19,43,32.4,38.9,33.1,27.6,283
7710,2024-06-20,38.7,29.7,33.7,45.9,18.4,312.8
7642,2024-06-21,38,27,31.9,60.4,14.8,307.1
6900,2024-06-22,38.6,29,33.2,55.7,16.6,292.5
7262,2024-06-23,39.1,30,33.5,59.2,18.4,197.2
7472,2024-06-24,38.3,30,33.2,65.3,18.4,280.4
7592,2024-06-25,38.9,29.1,33.8,63.3,11.2,278.1
7695,2024-06-26,36.2,30,33,66,18.4,222.9
7145,2024-06-27,35.4,27,31.1,76.4,22.3,75.5
6694,2024-06-28,32.3,25,28.9,86.7,18.4,89
6125,2024-06-29,34.7,28.4,30.3,84.1,14,148.7
6777,2024-06-30,36.6,28.6,32.6,76.1,14.8,266
7196,2024-07-01,35.2,29,32.1,72.6,11.2,250.6
7250,2024-07-02,36,30.8,33,70,14.8,259.2
6835,2024-07-03,34,25.5,29.5,87.2,14.8,129.1
6055,2024-07-04,31.3,26,28.6,90.2,11.2,248.8
6246,2024-07-05,32.4,28,29.6,87.4,18.4,200.2
5947,2024-07-06,33.8,28,29.7,85.4,14.8,198
5579,2024-07-07,34.5,26.9,29.8,76.4,18.4,156.8
5735,2024-07-08,31.1,26,28.3,83.2,18.4,208.5
5968,2024-07-09,32,27.9,29.6,87,18.4,190.3
6313,2024-07-10,36,28,30.8,85,14.8,203.8
7448,2024-07-11,39.2,28.3,33.5,72.2,11.2,293.9
7079,2024-07-12,33.8,29,31.4,64.7,16.6,193.2
6470,2024-07-13,35,27,30.3,77.9,11.3,284.9
6780,2024-07-14,35.6,28.9,32.3,73.1,13,300
6900,2024-07-15,34,25,31.3,79.3,14.8,296
7375,2024-07-16,37.4,30,33.2,73.5,18.4,241.6
7267,2024-07-17,36,30.9,32.7,77.1,14.7,298.9
7031,2024-07-18,35.6,26,31,83.6,18.4,244.7
7316,2024-07-19,35,28.2,31.5,82.9,14.8,228.8
7194,2024-07-20,36.9,28,32.4,75.1,11.2,193.9
7123,2024-07-21,36,29.4,32.6,77,20.5,129.4
6922,2024-07-22,35.3,27.6,30.9,84.8,16.6,215.8
7095,2024-07-23,34.7,28.8,31.4,84.5,11.2,262.3
6920,2024-07-24,33,26,30,87.5,14.8,254
7036,2024-07-25,35.6,27.5,31.2,83.8,9.4,273.5
6949,2024-07-26,33,27.1,30.9,85.7,11.2,260.9
6853,2024-07-27,35,29,31.3,85.7,16.6,220.7
7123,2024-07-28,37,28.8,33,74.6,14.8,267.6
7730,2024-07-29,37.5,30,33.6,70.6,16.6,285.4
7862,2024-07-30,39,31,34.4,68.8,13,267.4
8097,2024-07-31,37,25.5,31.9,78.7,18.4,153.4
6475,2024-08-01,32.5,25,28.8,85.6,11.2,143.3
6405,2024-08-02,32.5,27.5,29.7,86.3,13,209.7
6292,2024-08-03,34.2,28,30.3,81.5,16.6,264.4
6274,2024-08-04,34.5,27.4,30.5,77.8,18.4,240.4
6461,2024-08-05,32.2,28,30,80.1,20.5,216.1
6577,2024-08-06,33.7,27,30,80.1,13,201.2
6232,2024-08-07,30.8,26.9,28.1,92.6,11.2,136.4
6171,2024-08-08,32.9,26,28.5,89.8,18.4,239
6465,2024-08-09,33.9,27,29,89.1,13,218.3
5793,2024-08-10,31.5,27,28.9,90,13,248.8
5646,2024-08-11,29.3,25,27.3,94.3,14.8,186.7
5445,2024-08-12,29,26,27.5,95.2,13,241.8
5879,2024-08-13,32,26,28.7,91.2,14.8,227.9
6263,2024-08-14,34.8,27.9,30.6,83.8,14.8,215.7
5897,2024-08-15,33,27,29.9,90.2,18.4,226.5
6517,2024-08-16,34.3,27,30,86.1,16.6,208.8
6179,2024-08-17,34,28,30.2,83.8,11.2,183.8
6338,2024-08-18,33.6,28,30.7,81.2,16.6,166.9
6262,2024-08-19,34.5,28,30.9,79.2,14.8,170.1
5895,2024-08-20,32.2,25.4,28.6,86.5,18.4,172.7
6437,2024-08-21,35.5,27,30.4,77.2,13,237
6793,2024-08-22,35.8,28,31,76.2,13,227.5
6233,2024-08-23,31,27,28.3,87,11.2,255.3
6086,2024-08-24,34.6,26.9,30.3,82.2,11.2,229.6
6058,2024-08-25,33.8,26,30.4,79,15.8,232
5975,2024-08-26,34.3,28,29.9,82,37.1,237.7
6047,2024-08-27,32.4,25,28.5,86.1,18.4,219.6
6068,2024-08-28,33.2,25,28,88.5,16.6,218.8
5565,2024-08-29,29,25,27,95.6,16.6,115.1
6158,2024-08-30,34,25.8,29.4,82.8,18.4,217.7
6246,2024-08-31,35,27,30.8,80.1,14.8,265.8
6538,2024-09-01,35,28,31.7,76.9,11.2,246.2
6297,2024-09-02,32.2,27,29.3,86.6,13,192.8
6607,2024-09-03,35.1,28,30.9,79.1,18.4,248.1
5783,2024-09-04,31.9,24.8,27,90.6,14.8,127.6
5671,2024-09-05,32.2,24,28.3,85.4,7.6,185.6
5735,2024-09-06,32,25.8,28.1,87.4,15.7,219
5429,2024-09-07,32.9,26,27.4,88.7,20.5,132.7
5155,2024-09-08,29,26,27.2,95.2,13,53.1
5722,2024-09-09,33.8,26,28.8,89.9,16.6,221.5
6093,2024-09-10,34.3,25,28.1,88.1,18.4,173.3
5683,2024-09-11,32,26,28.4,87,9.4,234
5315,2024-09-12,29,24,26.1,95.4,18.4,18
4848,2024-09-13,27,23,24,98.5,22.3,46.7
4683,2024-09-14,31,23,26.5,87.5,16.6,246.5
4630,2024-09-15,32,25,28,81.8,20.5,246
5000,2024-09-16,32,26,28.8,77.8,20.5,248.4
5490,2024-09-17,33,26,29,78.1,13,199.1
5170,2024-09-18,29,23,25.8,89.7,20.5,78.4
